No.,Kode,Nama Outlet,Area,Alamat Outlet,Admin
80,MLC-080,MILLENIUM CITY,Bogor,"Milenium City Blk. F20, Cluster Jl. Monaco No.02, Kabasiran, Kec. Parung Panjang, Kabupaten Bogor, Jawa Barat 16360",Isna
81,MRS-081,MIROTO SEMARANG,Semarang - Jawa Tengah,"Jl. Moch. Suyudi No.79, Miroto, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50134",Dilla
82,MDL-082,MODERNLAND,Banten,"Jl. Hartono Raya No.6, Klp. Indah, Kec. Tangerang, Kota Tangerang, Banten 15117",Ines
83,MKR-083,MUARA KARANG,Jakarta Utara,"Jl. Pluit Karang Sari 15, Pluit, Penjaringan, Jakarta Utara",Lala
84,NGB-084,NAGOYA BATAM,Kepulauan Riau,"Dekat Primagama NITC, Ruko Bukit Mas, Jl. Perum Batam Park No.06 Blok A, Lubuk Baja Kota, Lubuk Baja, Batam City, Riau Islands 29444",Isna
85,PDG-085,PADANG,Sumatera Barat,"Jalan Bandar Purus 1-8 Pd Pasir l, Kota Padang, Sebrang Mcd Ahmad Yani, Padang, Sumatera Barat, 25115",Dita
86,PDM-086,PADEMANGAN,Jakarta Utara,"Jl. Pademangan Raya No.17-18, RT.2/RW.6, Pademangan Tim., Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14410",Lala
87,PLM-087,PALEMBANG 02,Sumatera Selatan,"Jl. Sumpah Pemuda No.10a, Lorok Pakjo, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan 30126",Dita
88,PLM-088,PALEMBANG 03,Sumatera Selatan,"Depan SD Paramount, Jl. MP. Mangkunegara No. 3A, 8 Ilir, Ilir Timur 2, Palembang",Dita
89,PAL-089,PALU,Sulawesi Tengah,"Jl. Emmy Saelan No 16, Lolu Sel., Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94235 (Martabak Pecenongan 78 Palu)",Isna
90,PEC-090,PECENONGAN,Jakarta Pusat,"Jl. Pecenongan No. 49, Kebon Kelapa, Gambir, Jakarta Pusat",Ines
91,PEJ-091,PEJATEN,Jakarta Selatan,"Jl. Siaga No. 12, Pejaten Barat, Pasar Minggu, Jakarta Selatan",Ines
92,PKL-092,PEKALONGAN,Pekalongan - Jawa Tengah,"Jl. Urip Sumoharjo, Pringlangu, Pekalongan Barat, Pekalongan",Dilla
93,PKB-093,PEKANBARU,Kepulauan Riau,"Jl. Sudirman No. 300 (Patokan Martabak Pecenongan 78), Pekanbaru Kota, Pekanbaru",Dita
94,PIK-094,PIK,Jakarta Utara,"Food plaza fresh market PIK, Jl. Pantai Indah Kapuk Boulevard Ruko fmb28, RT.UtaraRT.6/RW.2, Kamal Muara, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14470",Ines
95,PIK-095,PIK 2,Jakarta Utara,"Rukan La Riviera Blok RLRA No. 50, Jl. Otista, PIK 2, Lemo, Teluknaga, Tangerang",Isna
96,PDB-096,PONDOK BAMBU,Jakarta Timur,"Jl. Pahlawan Revolusi No.55, RT.4/RW.5, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430",Dita
97,PDK-097,PONDOK KOPI,Jakarta Timur,"Jl. Pondok Kopi IA No.12, RT.2/RW.9, Pd. Kopi, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13460",Lala
98,PTK-098,PONTIANAK,Kalimantan Barat,"Jl. Patimura No. 224-250, Darat Sekip, Pontianak Kota, Pontian",Ines
99,PRW-099,PRINGSEWU,Lampung,,Ines
100,PTA-100,PURWAKARTA,Purwakarta - Jawa Barat,"Jl. Jendral Sudirman No.204, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41115",Lala
101,PTO-101,PURWOKERTO,Banyumas - Jawa Tengah,"Jl. Jend. Sudirman, Purwokerto Wetan, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah",Dilla
102,PWO-102,PURWOREJO,Purworejo - Jawa Tengah,"Jl. Mayjen Sutoyo, Kepatihan, Purworejo, Kec. Purworejo, Kabupaten Purworejo, Jawa Tengah",Dilla
103,RSL-103,RADEN SALEH (EX METRO PERMATA),Banten,"Jl. Raden Saleh, Rt.003/Rw.009, Karang mulya, kec. Karang tengah, kota tangerang, banten 15157",Ines
104,RSB-104,RANGKASBITUNG,Banten,"Jl. Rt Hardiwinangun No.21, Muara Ciujung Bar., Kec. Rangkasbitung, Kabupaten Lebak, Banten 42312",Lala
105,RWL-105,RAWA LUMBU,Bekasi,"Jl. Pramuka Ruko No. 4, Pengasinan, Rawalumbu, Bekasi",Lala
106,RWM-106,RAWAMANGUN,Jakarta Timur,"Dekat Sinar Abadi Electronic, Jl. Paus No.8A-B 1, RT.3/RW.7, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Dita
107,RGP-107,REGENCY PRIUK,Banten,"Jl. Raya Villa Tangerang Indah, RT.010/RW.007, Gebang Raya, Kec. Periuk, Kota Tangerang, Banten 15132",Ines
108,SBG-108,SABANG,Jakarta Pusat,"Jl. Haji Agus Salim No. 40-42, Kebon Sirih. Menteng, Jakarta Pusat",Isna
109,SLT-109,SALATIGA,Salatiga - Jawa Tengah,"Jl. Sukowati No.9KalicacingKec, Kec. Sidomukti, Kota Salatiga, Jawa Tengah 50724",Dita
110,SWG-110,SAWANGAN,Depok,"Jl. Raya Sawangan No.37, Rangkapan Jaya Baru, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16434",Isna
111,SLK-111,SELOKAN,DIY,"Jl. Selokan Mataram No.200, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Dilla
112,SMG-112,SEMARANG 02,Semarang - Jawa Tengah,"Jl. Setia Budi No. 67-68A, Sumurboto, Banyumanik, Semarang",Dita
113,SMP-113,SEMPER,Jakarta Utara,"Jl. Kramat Jaya Raya, RW.13, Semper Bar., Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta",Lala
114,SRG-114,SERANG,Banten,"Jl. Pangeran Diponegoro No.71, Pocis, Kec. Serang, Kota Serang, Banten 42119",Isna
115,SOL-115,SOLO,Surakarta - Jawa Tengah,"Jl.Yos sudarso, soloRt.01, RW.08, kel.jayengan, kec.serengan, No.140,",Dilla
116,SOR-116,SOREANG,Bandung,"Depan borma, Jl. Raya Soreang No.131, Soreang, Kec. Soreang, Kabupaten Bandung, Jawa Barat 40911",Dita
117,STC-117,ST CIKARANG,Bekasi,"Jl. Yos Sudarso No. 27 (Depan Pasar Lama) Karang Baru, Cikarang Utara, Bekasi",Dilla
118,SUG-118,SUBANG,Subang - Jawa Barat,"Jl. Letjend Suprapto No. 119, Karanganyar, Subang",Lala
119,SUM-119,SUMEDANG,Sumedang - Jawa Barat,"Jl. Prabu Geusan Ulun No. 109, Kotakulon, Kec. Sumedang Sel., Kabupaten Sumedang, Jawa Barat 45311",Dilla
120,SUN-120,SUNTER,Jakarta Utara,"Jl. Danau Sunter Utara, RT.16/RW.11, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350",Ines
121,TMB-121,TAMBUN,Bekasi,"Jl. Mekarsari Tengah No.33, RT.005/RW.13, Mekarsari, Kec. Tambun Sel., Kabupaten Bekasi, Jawa Barat 17510",Ines
122,TJD-122,TANJUNG DUREN,Jakarta Barat,"Jl. Tj. Duren Barat 1 No.5, RT.1/RW.4, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",Lala
123,TSK-123,TASIKMALAYA,Tasikmalaya - Jawa Barat,"Jl. Tentara Pelajar No.42, Nagarawangi, Kec. Cihideung, Kab. Tasikmalaya, Jawa Barat 46124",Lala
124,TGL-124,TEGAL,Tegal - Jawa Tengah,"Jl. Kapten Sudibyo No. 109-117, Kemandungan, Tegal Selatan, Tegal",Dilla
125,TLG-125,TELUK GONG,Jakarta Utara,"Jl. Teluk Gong Raya No. 20B, Pejagalan, Penjaringan, Jakarta Utara",Lala
126,WNB-126,WONOSOBO,Wonosobo - Jawa Tengah,"Jl. S. Parman No. 24a, Wonosobo Timur, Wonosobo Kota, Wonosobo",DIlla
